"Time",variable_0
"V1",variable_1
"V2",variable_2
"V3",variable_3
"V4",variable_4
"V5",variable_5
"V6",variable_6
"V7",variable_7
"V8",variable_8
"V9",variable_9
"V10",variable_10
"V11",variable_11
"V12",variable_12
"V13",variable_13
"V14",variable_14
"V15",variable_15
"V16",variable_16
"V17",variable_17
"V18",variable_18
"V19",variable_19
"V20",variable_20
"V21",variable_21
"V22",variable_22
"V23",variable_23
"V24",variable_24
"V25",variable_25
"V26",variable_26
"V27",variable_27
"V28",variable_28
"Amount",variable_29
"Class",variable_30
"Class",variable_31
"Class",variable_32
"Class",variable_33
"Class",variable_34
"Class",variable_35
